,Date,Title,Numac,Link FR,Link NL,Topics
0,1/14/2020,"REGION DE BRUXELLES-CAPITALE
REGION DE BRUXELLES-CAPITALE
8 JANVIER 2020. - Arrêté ministériel établissant les modèles de formulaire visé à l'article 8,  §  1er, de l'arrêté du Gouvernement de la Région de Bruxelles-Capitale du 19 janvier 2017 établissant les modalités du régime préférentiel applicable aux droits de succession en cas de transmission des entreprises familiales et des sociétés familiales, p. 997.",2020010053,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-14&caller=list&numac=2020010053,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-14&caller=list&numac=2020010053,"[0.00710557732696141, 0.009137821985125564, 0.10344827384325443, 0.007282849123493362, 0.008780382752208037, 0.008723985151523343, 0.014149793323139122, 0.004166802408332528, 0.008234227565491772, 0.01645760879115834, 0.008522967578415626, 0.007334588091204913, 0.007602539593080541, 0.009211044887314626, 0.007021233075309006, 0.006822594352665862, 0.005355807069513893, 0.007640513850852203, 0.006427291289727557, 0.007080497837102689, 0.006625377785316956, 0.008843496520665541, 0.006183803963471633, 0.008677067832182453, 0.006316025905909618, 0.007753259363997828, 0.010526070934464803, 0.0054562275523788615, 0.006287826914230617, 0.0049268965875769455, 0.010609186509887946, 0.008399530990562535, 0.004181173240824514, 0.009713189138233026]"
1,1/16/2020,"SERVICE PUBLIC FEDERAL INTERIEUR
10 DECEMBRE 2017. - Arrêté royal modifiant l'arrêté royal n°  20 du 20 juillet 1970, fixant les taux de la taxe sur la valeur ajoutée et déterminant la répartition des biens et des services selon ces taux en ce qui concerne certains produits destinés à la protection hygiénique intime et les défibrillateurs externes. - Traduction allemande, p. 1296.",2020010044,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-16&caller=list&numac=2020010044,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-16&caller=list&numac=2020010044,"[3.215613065493281e-06, 6.363399731704369e-07, 7.251368380741924e-07, 8.605937545430133e-07, 9.716442381763422e-07, 9.810782425458283e-07, 7.240260270847868e-07, 5.593342593082004e-07, 9.599014675189072e-07, 7.288658880288247e-07, 8.603501682127456e-07, 8.242456216130085e-07, 9.550054189359938e-07, 9.299990318979689e-07, 7.872890049132389e-07, 5.989954321826703e-07, 6.168914266167419e-07, 6.229469839091547e-07, 0.854461766400642, 1.695161153667167e-06, 1.0283550231391675e-06, 9.205173414599681e-07, 8.969231571111596e-07, 1.0212642348425504e-06, 6.706947922245898e-07, 1.3603762360004569e-06, 8.548245974983987e-07, 5.75122025372173e-07, 9.919979600232076e-07, 6.05990074566753e-07, 8.802510292387334e-07, 9.971982214725431e-07, 5.592620736724392e-07, 9.210048923253444e-07]"
2,1/16/2020,"SERVICE PUBLIC FEDERAL FINANCES
7 DECEMBRE 2018. - Arrêté royal modifiant l'AR/CIR 92, en ce qui concerne les avantages de toute nature résultant de la disposition gratuite d'immeubles ou de parties d'immeubles. - Traduction allemande, p. 1297.",2020040052,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-16&caller=list&numac=2020040052,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-16&caller=list&numac=2020040052,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999991856544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,1/24/2020,"MINISTERE DE LA COMMUNAUTE FRANCAISE
20 DECEMBRE 2019. - Arrêté ministériel approuvant le dossier de référence de la section intitulée «  Bachelier de spécialisation : sciences fiscales  » (code 711705S32D2) classée dans le domaine des sciences économiques et de gestion de l'enseignement supérieur de promotion sociale de type court, p. 3175.",2020010214,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-24&caller=list&numac=2020010214,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-24&caller=list&numac=2020010214,"[0.00024042898012105454, 0.0002367301381964167, 0.0002681293571684202, 0.00027481798722271103, 0.00026592420350856667, 0.0002701011761460172, 0.00026890233949291046, 0.0001915370654415595, 0.0002683541293956922, 0.0002666313953555487, 0.0002933475667174503, 0.00027147292288394286, 0.0002535492043708379, 0.00026615467849185916, 0.00027062116718805005, 0.00025757070862605843, 0.00026726814073134414, 0.0002657333592313931, 0.00023290021003068175, 0.00023994167403174077, 0.0002362438410362494, 0.00027232018365747036, 0.00022966801130429144, 0.0002503281682666397, 0.00023961580205967192, 0.0002533883239887924, 0.00026003268309425726, 0.00024067160595450746, 0.000268954112621758, 0.00019812760469101396, 0.0002588984019701661, 0.00024300948331585495, 0.00019261575163662163, 0.0002636448491479938]"
4,1/28/2020,"SERVICE PUBLIC FEDERAL FINANCES
20 JANVIER 2020. - Arrêté royal remédiant au double emploi de l'article 734quater/1 dans l'AR/CIR 92, p. 4012.",2020040138,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-28&caller=list&numac=2020040138,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-28&caller=list&numac=2020040138,"[0.0, 0.0, 0.0, 0.0, 0.9999999979997657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1/28/2020,"SERVICE PUBLIC FEDERAL FINANCES
20 JANVIER 2020. - Arrêté ministériel adaptant l'arrêté ministériel du 20 décembre 2019 désignant le délégué en ce qui concerne l'application des articles 734/11 à 734/14 et 734quater/1 de l'arrêté royal d'exécution du Code des impôts sur les revenus 1992, p. 4013.",2020020094,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-28&caller=list&numac=2020020094,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-28&caller=list&numac=2020020094,"[0.0, 0.0, 0.0, 0.0, 0.9999999979997657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,1/28/2020,"SERVICE PUBLIC FEDERAL FINANCES
Administration générale de la Fiscalité. - Impôts sur les revenus. - Avis déterminant un nouveau modèle d'attestation n°  281.85 permettant d'apporter les preuves requises en matière de réduction d'impôt pour l'acquisition de nouvelles actions ou parts d'entreprises qui débutent conformément à l'article 14526,  §§  4 à 6, du Code des impôts sur les revenus 1992 (CIR 92) et à l'article 6312/1, de l'arrêté royal d'exécution du CIR 92 (AR/CIR 92). - Cet avis modifie celui paru au Moniteur belge du 16.02.2018, p. 4487.",2020010193,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-28&caller=list&numac=2020010193,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-28&caller=list&numac=2020010193,"[0.007209631780765492, 0.009306797595113528, 0.13271473721064025, 0.007392541994861859, 0.008903725899666844, 0.008844864764775284, 0.014352972149449859, 0.004233113590023585, 0.008351184488543537, 0.016721557742213136, 0.008644443323772514, 0.007447564266310291, 0.007713664367416476, 0.009339947589743868, 0.007127524018910113, 0.006933426169271144, 0.005439902486647491, 0.007763269204768399, 0.006523390415571181, 0.007185205671582296, 0.006726253543764571, 0.008969174873052781, 0.0062800573762707215, 0.008798883568188743, 0.006419612575794368, 0.00786333585708995, 0.01066008968513607, 0.00554332516567255, 0.00638050454340258, 0.005005094833639761, 0.010744134710550938, 0.00851914773871364, 0.004247738264895758, 0.009842662533305435]"
7,1/29/2020,"MINISTERE DE LA COMMUNAUTE FRANCAISE
20 DECEMBRE 2019. - Arrêté ministériel approuvant le dossier de référence de la section intitulée «  Bachelier de spécialisation : expertise comptable et fiscale  » (code 711704S32D2) classée dans le domaine des sciences économiques et de gestion de l'enseignement supérieur de promotion sociale de type court, p. 4658.",2020020106,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-01-29&caller=list&numac=2020020106,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-01-29&caller=list&numac=2020020106,"[0.0002405348688416659, 0.00023684876074530652, 0.00026824953193817496, 0.00027498198491557866, 0.0002660581111546918, 0.00027024518786640506, 0.00026907190388173987, 0.0001916533439387883, 0.00026850712709393815, 0.00026672064196759727, 0.0002935166792809985, 0.0002716092400014486, 0.000253696640653284, 0.0002662787159717694, 0.000270848476917397, 0.00025779116222916695, 0.00026754018460979656, 0.0002659593171262454, 0.00023299172082751643, 0.00024003801671341508, 0.00023636269721504443, 0.00027245928344095155, 0.00022971190530959176, 0.00025046237267387994, 0.00023970292753730578, 0.0002535018540452168, 0.0002601891555260222, 0.00024078560956391484, 0.00026910005287847605, 0.00019823718180027604, 0.00025904790426801224, 0.0002431443142377669, 0.00019273362072216784, 0.00026380327632190856]"
8,2/3/2020,"SERVICE PUBLIC FEDERAL FINANCES
9 DECEMBRE 2019. - Arrêté royal modifiant ou abrogeant divers arrêtés d'exécution ensuite de l'introduction du code du recouvrement amiable et forcé des créances fiscales et non fiscales. - Erratum, p. 5740.",2020040181,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-03&caller=list&numac=2020040181,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-03&caller=list&numac=2020040181,"[0.007058467055117297, 0.002971021938877118, 0.0035723404471961436, 0.004523869333278452, 0.006373609643652181, 0.00574355501270442, 0.003558449343277782, 0.002242450009429489, 0.0061759179490907794, 0.003509703443252682, 0.004394976345640731, 0.004237616222404895, 0.005508551066754809, 0.005792311750381245, 0.003888325244119144, 0.00281873598575431, 0.0028480207308477007, 0.0029405480358046746, 0.005189595803206429, 0.007333459751092635, 0.004639788284898243, 0.005348558532621695, 0.003352222207512498, 0.0059115622367248806, 0.003180665434366588, 0.01813670343341951, 0.004424936114194819, 0.0024470889798496333, 0.0044521809347149634, 0.0025300580550041583, 0.004715449489030119, 0.004996523302954061, 0.0022477953886527505, 0.005306825144252421]"
10,2/11/2020,"SERVICE PUBLIC FEDERAL FINANCES
11 DECEMBRE 2019. - Arrêté royal modifiant, en matière de précompte professionnel, l'AR/CIR 92. - Erratum, p. 7497.",2020030083,http://www.ejustice.just.fgov.be/cgi/article.pl?language=fr&pub_date=2020-02-11&caller=list&numac=2020030083,http://www.ejustice.just.fgov.be/cgi/article.pl?language=nl&pub_date=2020-02-11&caller=list&numac=2020030083,"[0.010679215769834504, 0.0036018313760950984, 0.004141986058085211, 0.005136846838165513, 0.006270113701729508, 0.005777922425568585, 0.00409065663091922, 0.002875565975118568, 0.006126298175956389, 0.004102031256024161, 0.004784461366385421, 0.004958205483173136, 0.0061305894207163685, 0.005994731648715916, 0.004466167516532815, 0.003379243115717556, 0.0034630405578770567, 0.0034812834419348363, 0.007993031288239713, 0.3621555308025838, 0.0060759754271927785, 0.0056089158712216555, 0.004396944608419411, 0.0062429486888168585, 0.004030580810634263, 0.009040382057368304, 0.004893145834149157, 0.0029960616028407963, 0.005131877423354491, 0.0032427153693639576, 0.005161094038925947, 0.005718424046929743, 0.002879598527158106, 0.005507652610501318]"
